2019-09-01 12:39:07
Running ./matvec_openmp
Run on (96 X 2101 MHz CPU s)
CPU Caches:
  L1 Data 32K (x48)
  L1 Instruction 32K (x48)
  L2 Unified 1024K (x48)
  L3 Unified 33792K (x2)
Load Average: 0.00, 0.01, 0.08
***WARNING*** Library was built as DEBUG. Timings may be affected.
---------------------------------------------------------------------------------------------------------
Benchmark                                               Time             CPU   Iterations UserCounters...
BM_MDSpan_OpenMP_MatVec_Raw_Right/right         349799752 ns    348964723 ns            2 bytes_per_second=213.548G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Right/right         349402818 ns    348568223 ns            2 bytes_per_second=213.791G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Right/right         350034316 ns    349199068 ns            2 bytes_per_second=213.405G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Right/right         349466327 ns    348622879 ns            2 bytes_per_second=213.757G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Right/right         349777370 ns    348942747 ns            2 bytes_per_second=213.561G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Right/right         349757575 ns    348922722 ns            2 bytes_per_second=213.574G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Right/right         350025669 ns    349190373 ns            2 bytes_per_second=213.41G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Right/right         350790972 ns    349944466 ns            2 bytes_per_second=212.95G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Right/right         349566574 ns    348664415 ns            2 bytes_per_second=213.732G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Right/right         349787670 ns    348952834 ns            2 bytes_per_second=213.555G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Right/right         349746345 ns    348911610 ns            2 bytes_per_second=213.58G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Right/right         349838491 ns    348996644 ns            2 bytes_per_second=213.528G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Right/right         348941274 ns    348108378 ns            2 bytes_per_second=214.073G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Right/right         349997750 ns    349162419 ns            2 bytes_per_second=213.427G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Right/right         349423591 ns    348589484 ns            2 bytes_per_second=213.778G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Right/right         349977305 ns    349131994 ns            2 bytes_per_second=213.446G/s repeats=1
